DateKey,CalendarDate,Day,DayName,DayOfWeek,WeekNumber,MonthNumber,MonthName,Quarter,CalendarYear,IsWeekend,IsMonthEnd,IsMonthStart,IsQuarterEnd,IsQuarterStart,IsYearEnd,IsYearStart,FiscalMonth,FiscalQuarter,FiscalYear,SourceSystem
20230101,2023-01-01,1,Sunday,7,52,1,January,Q1,2023,1,0,1,0,1,0,1,1,Q1,2023,Calendar Generator
20230102,2023-01-02,2,Monday,1,1,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230103,2023-01-03,3,Tuesday,2,1,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230104,2023-01-04,4,Wednesday,3,1,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230105,2023-01-05,5,Thursday,4,1,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230106,2023-01-06,6,Friday,5,1,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230107,2023-01-07,7,Saturday,6,1,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230108,2023-01-08,8,Sunday,7,1,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230109,2023-01-09,9,Monday,1,2,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230110,2023-01-10,10,Tuesday,2,2,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230111,2023-01-11,11,Wednesday,3,2,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230112,2023-01-12,12,Thursday,4,2,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230113,2023-01-13,13,Friday,5,2,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230114,2023-01-14,14,Saturday,6,2,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230115,2023-01-15,15,Sunday,7,2,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
