SalesID,SalesOrderNumber,SalesOrderLineNumber,InvoiceNumber,DateKey,CustomerID,ProductID,GeographyID,TerritoryID,SalespersonID,Quantity,UnitPrice,GrossSalesAmount,DiscountPercent,DiscountAmount,NetSalesAmount,CostAmount,GrossMarginAmount,GrossMarginPercent,SalesChannel,OrderStatus,CurrencyCode,SourceSystem,CreatedDate,ModifiedDate
1,SO-00000001,1,INV-00000001,20260806,116811,102569,1077,110,10386,1,3473.93,3473.93,0,0,3473.93,2431.89,1042.04,30,Partner,Completed,INR,ERP,06/08/2026,06/08/2026
1,SO-00000001,2,INV-00000001,20260806,116811,103059,1077,110,10386,8,3353.46,26827.68,0,0,26827.68,21173.84,5653.84,21.07,Direct,Completed,INR,ERP,06/08/2026,06/08/2026
1,SO-00000001,3,INV-00000001,20260806,116811,104021,1077,110,10386,3,924.06,2772.18,0,0,2772.18,1840.8,931.38,33.6,Partner,Completed,INR,ERP,06/08/2026,06/08/2026
2,SO-00000002,1,INV-00000002,20281114,120353,100121,1086,139,10188,5,464.43,2322.15,10,232.22,2089.93,1363.57,726.36,34.76,Direct,Completed,INR,ERP,14/11/2028,14/11/2028
2,SO-00000002,2,INV-00000002,20281114,120353,103811,1086,139,10188,10,4606.19,46061.899999999994,0,0,46061.9,23119.9,22942,49.81,Direct,Completed,INR,ERP,14/11/2028,14/11/2028
2,SO-00000002,3,INV-00000002,20281114,120353,102105,1086,139,10188,4,2773.56,11094.24,5,554.71,10539.53,4797.12,5742.41,54.48,Partner,Pending,INR,ERP,14/11/2028,14/11/2028
3,SO-00000003,1,INV-00000003,20310812,126546,102599,1143,130,10348,3,3739.33,11217.99,5,560.9,10657.09,2399.7,8257.39,77.48,Distributor,Completed,INR,ERP,12/08/2031,12/08/2031
3,SO-00000003,2,INV-00000003,20310812,126546,100297,1143,130,10348,4,547.73,2190.92,0,0,2190.92,1644.39,546.53,24.95,Direct,Completed,INR,ERP,12/08/2031,12/08/2031
4,SO-00000004,1,INV-00000004,20230203,117967,103635,1133,132,10376,2,3027.32,6054.64,0,0,6054.64,5894.98,159.66,2.64,Direct,Completed,INR,ERP,03/02/2023,03/02/2023
5,SO-00000005,1,INV-00000005,20260611,143150,103138,1055,119,10449,10,4498.18,44981.8,5,2249.09,42732.71,24243.4,18489.31,43.27,Direct,Completed,INR,ERP,11/06/2026,11/06/2026
5,SO-00000005,2,INV-00000005,20260611,143150,104762,1055,119,10449,1,3240.11,3240.11,20,648.02,2592.09,1727.37,864.72,33.36,Partner,Completed,INR,ERP,11/06/2026,11/06/2026
6,SO-00000006,1,INV-00000006,20261010,131911,101127,1071,124,10245,5,560.74,2803.7,0,0,2803.7,1167.55,1636.15,58.36,Direct,Completed,INR,ERP,10/10/2026,10/10/2026
6,SO-00000006,2,INV-00000006,20261010,131911,102693,1071,124,10245,1,2004.79,2004.79,10,200.48,1804.31,1343.27,461.04,25.55,Partner,Completed,INR,ERP,10/10/2026,10/10/2026
6,SO-00000006,3,INV-00000006,20261010,131911,100652,1071,124,10245,8,4227.86,33822.88,0,0,33822.88,26932.32,6890.56,20.37,Direct,Completed,INR,ERP,10/10/2026,10/10/2026
6,SO-00000006,4,INV-00000006,20261010,131911,100020,1071,124,10245,2,3012.38,6024.76,10,602.48,5422.28,3108.9,2313.38,42.66,Direct,Completed,INR,ERP,10/10/2026,10/10/2026
7,SO-00000007,1,INV-00000007,20321227,113221,100524,1034,146,10084,3,4596.46,13789.380000000001,0,0,13789.38,1648.89,12140.49,88.04,Direct,Completed,INR,ERP,27/12/2032,27/12/2032
7,SO-00000007,2,INV-00000007,20321227,113221,100006,1034,146,10084,5,1924.63,9623.150000000001,0,0,9623.15,7259.7,2363.45,24.56,Direct,Cancelled,INR,ERP,27/12/2032,27/12/2032
7,SO-00000007,3,INV-00000007,20321227,113221,102903,1034,146,10084,3,539.42,1618.2599999999998,10,161.83,1456.43,1190.26,266.17,18.28,Partner,Completed,INR,ERP,27/12/2032,27/12/2032
7,SO-00000007,4,INV-00000007,20321227,113221,100017,1034,146,10084,3,734.26,2202.7799999999997,5,110.14,2092.64,1659.94,432.7,20.68,Direct,Completed,INR,ERP,27/12/2032,27/12/2032
7,SO-00000007,5,INV-00000007,20321227,113221,104092,1034,146,10084,10,113.21,1132.1,0,0,1132.1,792.31,339.79,30.01,Direct,Completed,INR,ERP,27/12/2032,27/12/2032
