ProductID,ProductCode,ProductName,Category,SubCategory,Brand,UnitPrice,StandardCost,Status,CreatedDate,ModifiedDate,SourceSystem
100001,PROD-100001,Phased user-facing knowledgebase,Software,Operating System,VMware,1262.21,579.66,Active,2026-04-15,2024-11-28,ERP
100002,PROD-100002,Multi-layered user-facing model,Software,Operating System,Lenovo,207.32,397.44,Active,2024-07-28,2025-03-04,ERP
100003,PROD-100003,Cloned leadingedge frame,Networking,Router,Cisco,3594.3,2812.77,Active,2025-03-08,2025-01-22,ERP
100004,PROD-100004,Profound global artificial intelligence,Storage,NAS,Adobe,2966.87,3242.49,Active,2026-02-04,2025-11-23,ERP
100005,PROD-100005,Future-proofed object-oriented open system,Hardware,Desktop,Lenovo,1734.24,643.03,Active,2022-04-16,2024-12-28,ERP
100006,PROD-100006,Total 6thgeneration challenge,Services,Consulting,Dell,1930.64,1451.94,Active,2025-03-09,2026-04-16,ERP
100007,PROD-100007,Function-based human-resource capability,Services,Training,Microsoft,3662.17,2156.51,Active,2023-09-01,2024-10-25,ERP
100008,PROD-100008,Front-line value-added attitude,Storage,SAN,VMware,4155.55,2483.62,Active,2024-09-06,2024-10-18,ERP
100009,PROD-100009,Digitized motivating Graphical User Interface,Services,Support,Dell,276.83,930.9,Active,2024-05-31,2025-05-29,ERP
100010,PROD-100010,Switchable empowering archive,Security,Identity,Cisco,4339.09,1536.0,Active,2023-03-01,2025-10-17,ERP
100011,PROD-100011,Multi-lateral next generation support,Collaboration,Voice,HP,1882.4,857.79,Active,2021-08-16,2024-11-06,ERP
100012,PROD-100012,De-engineered real-time workforce,Security,Identity,HP,2693.99,998.12,Active,2026-03-21,2026-07-18,ERP
100013,PROD-100013,Fully-configurable next generation attitude,Collaboration,Productivity,VMware,4948.14,2569.0,Active,2023-03-05,2024-11-13,ERP
100014,PROD-100014,Open-architected interactive migration,Networking,Firewall,Microsoft,1183.79,152.6,Active,2025-09-23,2024-12-23,ERP
100015,PROD-100015,Synergized 4thgeneration installation,Services,Implementation,VMware,377.63,3654.72,Active,2025-02-20,2025-01-24,ERP
100016,PROD-100016,Centralized uniform projection,Services,Support,Adobe,2008.38,3660.33,Active,2022-04-30,2025-12-21,ERP
100017,PROD-100017,Fundamental holistic product,Collaboration,Meetings,VMware,741.17,2986.33,Active,2022-01-16,2024-12-06,ERP
100018,PROD-100018,Open-architected 6thgeneration projection,Security,Encryption,Lenovo,1841.88,3989.37,Active,2022-06-28,2025-03-20,ERP
100019,PROD-100019,Programmable human-resource Graphic Interface,Cloud,Networking,Dell,3791.12,3447.88,Active,2022-05-17,2025-10-16,ERP
100020,PROD-100020,Secured real-time monitoring,Cloud,Storage,Lenovo,3002.22,1554.45,Active,2022-04-08,2025-12-26,ERP
100021,PROD-100021,Self-enabling foreground installation,Collaboration,Voice,Microsoft,3417.4,480.34,Active,2023-05-11,2025-05-01,ERP
100022,PROD-100022,Balanced dedicated customer loyalty,Security,Threat Protection,Dell,1502.83,653.68,Active,2022-06-29,2024-12-05,ERP
100023,PROD-100023,Right-sized coherent challenge,Hardware,Server,HP,2563.02,447.98,Active,2025-03-05,2026-03-23,ERP
100024,PROD-100024,Fundamental transitional analyzer,Security,Endpoint,HP,1900.87,667.16,Active,2022-08-03,2025-04-21,ERP
100025,PROD-100025,Upgradable solution-oriented hub,Hardware,Server,Adobe,146.41,3718.17,Active,2025-10-20,2026-06-03,ERP
100026,PROD-100026,Up-sized tangible utilization,Security,Endpoint,Microsoft,1242.31,2280.24,Active,2022-12-28,2026-06-15,ERP
100027,PROD-100027,Stand-alone composite access,Software,Operating System,Adobe,4089.32,3912.49,Active,2023-12-03,2025-09-08,ERP
100028,PROD-100028,Fundamental logistical instruction set,Cloud,Storage,Adobe,4736.9,681.38,Active,2023-10-11,2026-02-12,ERP
100029,PROD-100029,Exclusive uniform analyzer,Storage,NAS,Cisco,3579.1,1610.99,Active,2024-07-07,2025-06-22,ERP
100030,PROD-100030,Advanced asymmetric complexity,Services,Implementation,Adobe,648.97,918.17,Active,2025-05-24,2025-09-16,ERP
100031,PROD-100031,Synergized secondary process improvement,Services,Consulting,Cisco,2962.78,53.58,Active,2023-04-26,2025-03-21,ERP
100032,PROD-100032,Object-based content-based leverage,Hardware,Desktop,Dell,4531.83,3442.05,Active,2023-03-30,2025-11-09,ERP
100033,PROD-100033,Centralized upward-trending project,Software,Database,VMware,3361.44,876.59,Active,2023-01-19,2026-06-23,ERP
100034,PROD-100034,Cross-group fault-tolerant flexibility,Cloud,Networking,Cisco,3933.87,3234.8,Active,2023-12-04,2024-10-12,ERP
100035,PROD-100035,Configurable coherent migration,Networking,Router,Dell,3311.96,1433.33,Active,2023-06-24,2026-01-13,ERP
100036,PROD-100036,Function-based reciprocal access,Storage,Archive,Microsoft,3383.15,3937.06,Active,2022-08-19,2025-01-23,ERP
100037,PROD-100037,Upgradable uniform software,Software,Operating System,Lenovo,3654.66,3207.36,Active,2023-08-13,2024-11-22,ERP
100038,PROD-100038,Face-to-face zero administration monitoring,Software,Database,Cisco,991.53,1808.24,Active,2021-11-20,2025-04-27,ERP
100039,PROD-100039,Object-based 4thgeneration core,Storage,NAS,VMware,2340.01,3501.08,Active,2022-05-07,2026-03-28,ERP
100040,PROD-100040,Inverse local protocol,Software,Office,Dell,300.41,3997.15,Active,2025-09-17,2025-10-13,ERP
100041,PROD-100041,Distributed mission-critical hardware,Hardware,Laptop,Cisco,873.24,1955.42,Active,2024-11-19,2025-06-23,ERP
100042,PROD-100042,Total even-keeled functionalities,Networking,Wireless,Microsoft,864.95,33.57,Active,2025-08-03,2026-06-17,ERP
100043,PROD-100043,Down-sized 24hour budgetary management,Storage,Backup,Adobe,1461.98,2793.95,Active,2022-08-02,2025-03-23,ERP
100044,PROD-100044,Face-to-face clear-thinking forecast,Collaboration,Meetings,Cisco,1518.7,3875.62,Active,2025-09-12,2026-07-26,ERP
100045,PROD-100045,Object-based system-worthy neural-net,Hardware,Server,Microsoft,298.2,1920.23,Active,2025-09-20,2025-03-07,ERP
100046,PROD-100046,Balanced web-enabled challenge,Cloud,Compute,Dell,4264.15,297.37,Active,2023-10-23,2026-01-15,ERP
100047,PROD-100047,Self-enabling coherent throughput,Software,Database,Lenovo,643.44,3563.89,Active,2023-09-13,2026-07-14,ERP
