GeographyID,GeographyCode,Country,StateProvince,City,Region,PostalCode,Latitude,Longitude,SourceSystem,CreatedDate,ModifiedDate
1001,GEO-1001,UAE,Dubai,Dubai,Middle East,216739,25.128802,55.234805,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1002,GEO-1002,India,Gujarat,Ahmedabad,West,246316,23.060335,72.599672,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1003,GEO-1003,Germany,Bavaria,Munich,EMEA,191161,48.149579,11.507085,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1004,GEO-1004,India,Delhi,New Delhi,North,329258,28.571126,77.225323,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1005,GEO-1005,Germany,Bavaria,Munich,EMEA,308496,48.169663,11.614212,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1006,GEO-1006,USA,New York,New York,East,331148,40.704673,-74.041489,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1007,GEO-1007,India,Karnataka,Bangalore,South,895667,13.020531,77.626302,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1008,GEO-1008,USA,California,San Francisco,West,391369,37.719777,-122.346246,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1009,GEO-1009,USA,California,San Francisco,West,207175,37.709739,-122.483925,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1010,GEO-1010,USA,Texas,Dallas,Central,733052,32.739023,-96.870048,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1011,GEO-1011,Canada,Ontario,Toronto,East,662275,43.593172,-79.315633,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1012,GEO-1012,India,Delhi,New Delhi,North,678856,28.580809,77.229582,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1013,GEO-1013,USA,Texas,Dallas,Central,705397,32.727466,-96.865871,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1014,GEO-1014,Saudi Arabia,Riyadh,Riyadh,Middle East,338968,24.757291,46.752935,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1015,GEO-1015,India,Gujarat,Ahmedabad,West,205907,23.00332,72.563946,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1016,GEO-1016,USA,Texas,Dallas,Central,270555,32.755929,-96.843479,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1017,GEO-1017,India,Punjab,Ludhiana,North,835911,30.970865,75.880986,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1018,GEO-1018,Netherlands,North Holland,Amsterdam,EMEA,765822,52.314982,4.94076,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1019,GEO-1019,India,Kerala,Kochi,South,584714,9.911913,76.345624,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1020,GEO-1020,UAE,Dubai,Dubai,Middle East,821590,25.213912,55.300338,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1021,GEO-1021,Japan,Tokyo,Tokyo,APAC,913694,35.60515,139.701788,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1022,GEO-1022,USA,California,San Francisco,West,520651,37.737739,-122.465643,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1023,GEO-1023,France,Ile-de-France,Paris,EMEA,852787,48.826948,2.37707,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1024,GEO-1024,USA,Washington,Seattle,West,774079,47.599616,-122.369719,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1025,GEO-1025,India,Gujarat,Ahmedabad,West,881177,23.032319,72.533439,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1026,GEO-1026,France,Ile-de-France,Paris,EMEA,549245,48.920252,2.336104,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1027,GEO-1027,India,Gujarat,Ahmedabad,West,245051,23.024024,72.505946,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1028,GEO-1028,India,Maharashtra,Mumbai,West,214975,19.020455,72.823297,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1029,GEO-1029,Saudi Arabia,Riyadh,Riyadh,Middle East,542666,24.729025,46.656863,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1030,GEO-1030,Netherlands,North Holland,Amsterdam,EMEA,590785,52.372258,4.979473,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1031,GEO-1031,India,Karnataka,Bangalore,South,813328,13.006915,77.623674,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1032,GEO-1032,Germany,Bavaria,Munich,EMEA,887352,48.097792,11.604554,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1033,GEO-1033,India,Tamil Nadu,Chennai,South,407757,13.072262,80.263296,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1034,GEO-1034,Australia,New South Wales,Sydney,ANZ,854639,-33.906658,151.209394,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1035,GEO-1035,India,Kerala,Kochi,South,632342,9.99722,76.326583,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1036,GEO-1036,India,Rajasthan,Jaipur,North,982554,26.934632,75.804735,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
1037,GEO-1037,India,Telangana,Hyderabad,South,492077,17.427002,78.493001,Google Colab,2026-08-05 11:59:15,2026-08-05 11:59:15
